,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kumul,45,CN,1611605200,73,42.8,93.45,15.64,1.36
1,Hong Kong,1,HK,1611605112,86,22.2855,114.1577,64.99,1.99
2,Hobart,75,AU,1611605201,94,-42.8794,147.3294,62.01,6.91
3,Hamilton,90,US,1611604715,86,39.1834,-84.5333,33.8,9.22
4,Butaritari,94,KI,1611605201,79,3.0707,172.7902,79.14,10.0
5,Ardakān,0,IR,1611605201,22,32.31,54.0175,39.2,2.3
6,Cap Malheureux,19,MU,1611605201,84,-19.9842,57.6142,75.99,3.0
7,Half Moon Bay,40,US,1611605201,62,37.4636,-122.4286,52.0,24.16
8,George Town,20,MY,1611605201,94,5.4112,100.3354,79.0,1.14
9,Mataura,100,NZ,1611605202,68,-46.1927,168.8643,66.99,5.99
10,New Norfolk,99,AU,1611605202,72,-42.7826,147.0587,62.01,1.01
11,Karla,75,EE,1611605202,93,59.3723,24.9275,34.0,8.05
12,Yulara,40,AU,1611605202,51,-25.2406,130.9889,84.2,5.75
13,Chaman,0,PK,1611605202,64,30.9236,66.4512,36.0,0.54
14,Alma,96,CA,1611605202,79,48.5501,-71.6491,15.8,9.22
15,Hay River,100,CA,1611605203,69,60.8156,-115.7999,-22.0,6.91
16,Provideniya,0,RU,1611605203,72,64.3833,-173.3,3.2,20.13
17,Yellowknife,20,CA,1611605203,69,62.456,-114.3525,-20.99,9.22
18,Barrow,1,US,1611605203,71,71.2906,-156.7887,-5.8,12.66
19,Varkaus,90,FI,1611605203,100,62.3153,27.873,33.8,6.91
20,Bukene,100,TZ,1611605204,92,-4.2333,32.8833,65.41,2.73
21,Ushuaia,40,AR,1611605205,40,-54.8,-68.3,53.6,9.22
22,Rikitea,1,PF,1611605205,74,-23.1203,-134.9692,79.56,15.1
23,Albany,40,US,1611605205,42,42.6001,-73.9662,30.99,3.71
24,Chui,16,UY,1611605205,50,-33.6971,-53.4616,85.19,11.41
25,Vaini,20,TO,1611605205,89,-21.2,-175.2,78.8,4.61
26,Tasiilaq,20,GL,1611605205,56,65.6145,-37.6368,10.4,12.66
27,Nabire,80,ID,1611605206,86,-3.3667,135.4833,75.49,3.69
28,Katsuura,20,JP,1611605206,81,35.1333,140.3,39.2,8.05
29,Torbay,90,CA,1611604998,86,47.6666,-52.7314,28.99,11.5
30,Dikson,100,RU,1611605207,84,73.5069,80.5464,-25.31,13.47
31,Vila Velha,40,BR,1611605005,69,-20.3297,-40.2925,87.01,11.5
32,Deer Lake,75,CA,1611605207,80,49.1667,-57.4316,33.8,9.22
33,Castro,100,BR,1611605207,91,-24.7911,-50.0119,70.43,4.18
34,Quatre Cocos,75,MU,1611605207,83,-20.2078,57.7625,77.0,4.61
35,Port Alfred,6,ZA,1611605208,77,-33.5906,26.891,70.61,26.22
36,Bluff,100,NZ,1611605208,68,-46.6,168.3333,66.99,5.99
37,Mahébourg,75,MU,1611605208,83,-20.4081,57.7,77.0,4.61
38,Busselton,0,AU,1611605208,87,-33.65,115.3333,54.0,7.29
39,Forsytheganj,100,BY,1611605208,93,52.6333,29.7333,41.09,16.73
40,Bengkulu,100,ID,1611605209,89,-3.8004,102.2655,75.2,4.18
41,Bétaré Oya,37,CM,1611605209,23,5.6,14.0833,75.58,5.97
42,Qaanaaq,0,GL,1611605209,66,77.484,-69.3632,6.49,8.19
43,Bambous Virieux,75,MU,1611605210,83,-20.3428,57.7575,77.0,4.61
44,Tahe,100,CN,1611605210,88,52.3333,124.7333,-15.59,2.66
45,Sibolga,98,ID,1611605210,82,1.7427,98.7792,76.12,3.67
46,Kirakira,90,SB,1611605210,80,-10.4544,161.9205,81.09,7.87
